in:Index,img:Output1,img:Output2,img:Output3,img:Output4,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:W_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
5,Index_5_Parallel.png,Index_5_Back.png,Index_5_Front.png,Index_5_Top.png,45,40,0.85,1.6,7.6,0.9,0.3,0.0,35,1.6,5.9,1.0,0.3,0.0,0,-70,1.6,0.2,9,0.1,0.3,0.05,0.05,82.202,100.0,85.4938,66.795154,30.955581
10,Index_10_Parallel.png,Index_10_Back.png,Index_10_Front.png,Index_10_Top.png,35,34,1.05,2.2,4.3,0.8,3.4,0.2,10,0.8,3.4,2.0,0.7,2.1,0,-40,1.8,0.0,5,0.02,0.9,0.0,0.0,80.761,54.9383,100.0,77.463457,20.675604
12,Index_12_Parallel.png,Index_12_Back.png,Index_12_Front.png,Index_12_Top.png,65,58,0.85,2.3,7.6,0.7,0.2,0.1,10,0.8,3.4,2.0,1.9,0.9,0,-80,1.2,0.1,9,0.1,0.8,0.05,0.0,80.933,98.7654,92.284,76.801574,22.88995
25,Index_25_Parallel.png,Index_25_Back.png,Index_25_Front.png,Index_25_Top.png,70,38,0.82,2.5,7.6,0.5,0.1,0.2,15,1.1,3.7,0.9,1.9,0.6,0,-40,1.8,0.4,6,0.7,0.5,0.55,0.15,82.647,100.0,94.1358,77.078889,34.042865
33,Index_33_Parallel.png,Index_33_Back.png,Index_33_Front.png,Index_33_Top.png,55,34,1.6,1.9,7.8,0.9,0.1,0.0,40,1.8,6.0,0.9,0.0,0.2,0,-80,2.0,0.1,4,1.0,1.0,0.0,0.15,83.162,100.0,87.03699999999999,70.061852,24.765524
35,Index_35_Parallel.png,Index_35_Back.png,Index_35_Front.png,Index_35_Top.png,40,40,1.03,2.6,4.2,0.4,0.9,2.8,20,0.9,6.0,0.8,0.1,0.1,0,-80,2.0,0.1,5,0.02,0.1,0.0,0.0,82.339,100.0,83.3333,70.7375,41.412801
43,Index_43_Parallel.png,Index_43_Back.png,Index_43_Front.png,Index_43_Top.png,50,47,1.93,2.2,6.1,0.8,0.2,1.6,30,1.4,5.8,0.8,0.0,0.4,0,-80,1.8,0.3,4,0.1,0.1,0.05,0.05,84.156,100.0,76.5432,58.578549,39.057547
65,Index_65_Parallel.png,Index_65_Back.png,Index_65_Front.png,Index_65_Top.png,30,30,0.95,1.2,6.8,0.8,0.0,1.1,10,0.7,3.9,2.0,1.3,1.0,0,-80,2.0,0.4,8,0.02,1.0,0.0,0.0,80.898,38.8889,98.1481,77.692747,18.440281
69,Index_69_Parallel.png,Index_69_Back.png,Index_69_Front.png,Index_69_Top.png,30,29,0.98,2.0,4.0,0.9,3.0,0.9,30,1.4,5.8,0.8,0.3,0.1,0,-60,1.7,0.5,5,0.02,0.2,0.0,0.0,82.133,100.0,84.8765,71.000432,32.918164
81,Index_81_Parallel.png,Index_81_Back.png,Index_81_Front.png,Index_81_Top.png,50,31,0.8,2.6,5.2,0.4,2.0,0.7,15,0.7,5.8,2.0,0.3,0.1,0,-80,1.6,0.8,5,0.5,0.1,0.2,0.2,81.276,95.9877,93.8272,77.863086,36.236378
83,Index_83_Parallel.png,Index_83_Back.png,Index_83_Front.png,Index_83_Top.png,70,70,7.28,2.6,7.3,0.4,0.0,0.6,40,1.8,6.0,1.0,0.0,0.2,0,-80,2.0,0.1,2,0.02,0.1,0.0,0.0,85.528,100.0,65.1235,40.387963,38.153574
87,Index_87_Parallel.png,Index_87_Back.png,Index_87_Front.png,Index_87_Top.png,65,58,0.85,2.3,7.6,0.7,0.0,0.3,25,1.1,6.1,1.0,0.1,0.0,0,-60,1.8,0.0,9,0.1,0.2,0.05,0.05,82.545,100.0,78.0864,58.797407,38.274005
96,Index_96_Parallel.png,Index_96_Back.png,Index_96_Front.png,Index_96_Top.png,40,36,0.97,2.5,4.3,0.5,0.6,3.0,10,0.8,3.4,2.0,1.2,1.6,0,-80,1.2,0.6,5,0.1,0.3,0.05,0.05,81.207,90.7407,94.7531,77.18071,35.776656
97,Index_97_Parallel.png,Index_97_Back.png,Index_97_Front.png,Index_97_Top.png,60,43,2.5,2.3,7.0,0.7,0.0,0.9,10,0.6,4.5,2.0,1.2,0.5,0,-50,2.0,0.6,3,1.0,0.1,0.4,0.4,82.956,100.0,91.6667,74.89321,38.611917
99,Index_99_Parallel.png,Index_99_Back.png,Index_99_Front.png,Index_99_Top.png,45,40,1.63,2.2,5.5,0.8,1.7,0.7,40,1.8,6.0,1.0,0.1,0.1,0,-60,1.4,0.4,4,0.2,0.1,0.0,0.2,84.019,100.0,82.4074,60.863858,32.892348
118,Index_118_Parallel.png,Index_118_Back.png,Index_118_Front.png,Index_118_Top.png,40,33,0.88,2.0,5.4,0.8,0.6,1.9,25,2.0,3.4,0.9,0.8,2.0,0,-60,1.2,0.2,6,0.2,0.8,0.1,0.1,82.099,98.7654,94.1358,76.63963,22.96766
120,Index_120_Parallel.png,Index_120_Back.png,Index_120_Front.png,Index_120_Top.png,65,35,0.82,2.3,7.6,0.7,0.0,0.3,10,0.8,3.4,2.0,1.2,1.6,0,-80,1.8,0.1,6,0.7,0.2,0.05,0.6,82.476,94.4444,92.284,77.722747,39.753409
126,Index_126_Parallel.png,Index_126_Back.png,Index_126_Front.png,Index_126_Top.png,40,37,0.95,2.6,4.2,0.4,0.9,2.8,10,0.7,3.9,2.0,1.9,0.4,0,-80,1.7,0.7,5,0.1,0.2,0.05,0.05,81.344,94.1358,94.1358,77.09642,38.597116
127,Index_127_Parallel.png,Index_127_Back.png,Index_127_Front.png,Index_127_Top.png,60,37,1.9,2.6,6.2,0.4,1.2,0.5,10,0.6,4.5,2.0,0.5,1.2,0,-50,1.2,0.1,3,1.2,0.3,0.4,0.0,82.51,95.3704,94.4444,77.572623,38.010165
128,Index_128_Parallel.png,Index_128_Back.png,Index_128_Front.png,Index_128_Top.png,30,29,0.98,2.0,4.0,1.0,0.0,3.9,40,2.0,5.4,1.0,0.3,0.5,0,-80,2.0,0.1,5,0.02,1.0,0.0,0.0,81.962,100.0,95.0617,75.213642,18.695286
141,Index_141_Parallel.png,Index_141_Back.png,Index_141_Front.png,Index_141_Top.png,30,29,0.98,2.0,4.0,1.0,0.0,3.9,40,2.0,5.4,1.0,0.3,0.5,0,-80,1.9,0.1,5,0.02,1.0,0.0,0.0,81.962,100.0,94.1358,75.224167,18.695286
142,Index_142_Parallel.png,Index_142_Back.png,Index_142_Front.png,Index_142_Top.png,30,29,0.98,2.0,4.0,1.0,0.1,3.8,40,1.9,5.7,0.9,0.0,0.5,0,-70,2.0,0.1,5,0.02,1.0,0.0,0.0,81.996,100.0,91.358,73.746574,20.101904
143,Index_143_Parallel.png,Index_143_Back.png,Index_143_Front.png,Index_143_Top.png,40,33,0.85,2.6,4.2,0.4,0.0,3.7,40,2.0,5.4,1.0,0.8,0.0,0,-80,2.0,0.1,5,0.2,1.0,0.1,0.1,81.996,100.0,92.5926,73.877407,19.3852
145,Index_145_Parallel.png,Index_145_Back.png,Index_145_Front.png,Index_145_Top.png,70,48,0.87,2.5,7.6,0.5,0.1,0.2,10,0.8,3.4,2.0,1.5,1.3,0,-80,0.9,0.0,7,0.4,0.4,0.2,0.2,82.956,100.0,91.6667,75.210154,37.242678
150,Index_150_Parallel.png,Index_150_Back.png,Index_150_Front.png,Index_150_Top.png,60,49,0.9,2.1,7.7,0.9,0.2,0.0,35,1.6,5.9,0.9,0.2,0.1,0,-40,1.7,0.1,8,0.2,0.7,0.1,0.1,82.956,100.0,91.0494,65.858457,25.743555
175,Index_175_Parallel.png,Index_175_Back.png,Index_175_Front.png,Index_175_Top.png,35,30,1.23,2.2,4.3,0.8,1.6,2.0,30,2.0,4.0,0.8,0.6,1.6,0,-60,1.9,0.0,4,0.2,0.4,0.05,0.1,82.75,100.0,88.8889,73.16429,29.697661
186,Index_186_Parallel.png,Index_186_Back.png,Index_186_Front.png,Index_186_Top.png,50,31,0.8,2.6,5.2,0.4,2.0,0.7,10,0.6,4.5,2.0,0.2,1.5,0,-80,1.9,0.5,5,0.5,0.1,0.1,0.2,81.173,88.27159999999999,94.1358,77.806667,39.64681
187,Index_187_Parallel.png,Index_187_Back.png,Index_187_Front.png,Index_187_Top.png,40,31,1.6,2.6,4.2,0.4,1.0,2.7,10,0.6,4.5,2.0,1.2,0.5,0,-80,2.0,0.3,3,0.5,0.1,0.0,0.4,82.442,90.4321,95.0617,77.634321,39.623756
196,Index_196_Parallel.png,Index_196_Back.png,Index_196_Front.png,Index_196_Top.png,55,54,2.58,1.9,7.8,0.9,0.1,0.0,35,1.6,5.9,0.8,0.0,0.3,0,-60,1.5,0.1,4,0.02,0.7,0.0,0.0,83.951,100.0,73.1481,53.922963,31.9658
205,Index_205_Parallel.png,Index_205_Back.png,Index_205_Front.png,Index_205_Top.png,50,47,4.9,2.6,5.2,0.4,1.3,1.4,10,0.8,3.4,2.0,1.9,0.9,0,-60,0.6,0.0,2,0.3,0.9,0.1,0.2,82.647,100.0,91.0494,74.722747,38.126849
209,Index_209_Parallel.png,Index_209_Back.png,Index_209_Front.png,Index_209_Top.png,65,44,0.87,2.3,7.6,0.7,0.1,0.2,25,2.0,3.4,1.0,1.7,1.1,0,-80,1.9,0.1,7,0.4,0.2,0.2,0.2,83.608,100.0,85.80250000000001,69.418549,35.738092
210,Index_210_Parallel.png,Index_210_Back.png,Index_210_Front.png,Index_210_Top.png,60,54,0.86,2.1,7.7,0.9,0.1,0.1,35,1.6,5.9,1.0,0.0,0.3,0,-40,1.6,0.0,9,0.1,0.8,0.0,0.1,81.996,100.0,94.4444,68.337191,22.409339
213,Index_213_Parallel.png,Index_213_Back.png,Index_213_Front.png,Index_213_Top.png,35,30,2.05,2.0,4.7,0.9,1.5,1.7,10,0.8,3.4,2.0,1.8,1.0,0,-80,1.9,0.0,3,0.3,0.1,0.15,0.15,82.476,91.6667,93.5185,77.013519,40.473971
216,Index_216_Parallel.png,Index_216_Back.png,Index_216_Front.png,Index_216_Top.png,50,31,1.1,2.5,5.4,0.5,2.2,0.3,10,0.7,3.9,2.0,1.3,1.0,0,-80,1.6,0.7,4,0.7,0.1,0.3,0.4,82.373,87.65429999999999,93.8272,77.529012,39.856034
217,Index_217_Parallel.png,Index_217_Back.png,Index_217_Front.png,Index_217_Top.png,60,48,0.83,2.6,6.2,0.4,1.2,0.5,10,0.6,4.5,2.0,1.2,0.5,0,-80,2.0,0.3,7,0.2,0.1,0.05,0.0,83.059,100.0,89.5062,73.993364,42.42144
219,Index_219_Parallel.png,Index_219_Back.png,Index_219_Front.png,Index_219_Top.png,35,30,3.7,2.2,4.3,0.8,0.2,3.4,20,1.5,3.6,1.0,1.2,1.4,0,-80,1.3,0.1,2,0.6,0.9,0.25,0.2,82.545,99.0741,91.6667,75.748735,33.349332
235,Index_235_Parallel.png,Index_235_Back.png,Index_235_Front.png,Index_235_Top.png,50,44,2.4,2.5,5.4,0.5,1.3,1.2,25,1.9,3.6,0.9,1.1,1.5,0,-40,1.3,0.0,3,0.3,0.1,0.0,0.15,83.402,100.0,86.72840000000001,69.151358,36.480077
243,Index_243_Parallel.png,Index_243_Back.png,Index_243_Front.png,Index_243_Top.png,60,59,0.94,2.1,7.7,0.9,0.0,0.2,15,0.7,5.8,2.0,0.0,0.4,0,-80,1.9,0.1,9,0.02,1.0,0.0,0.0,81.07,99.6914,92.284,77.219568,19.456083
244,Index_244_Parallel.png,Index_244_Back.png,Index_244_Front.png,Index_244_Top.png,65,64,1.5,2.3,7.6,0.7,0.3,0.0,10,0.8,3.4,2.0,2.8,0.0,0,-80,1.3,0.0,6,0.02,1.0,0.0,0.0,82.579,100.0,87.03699999999999,72.64679,26.477531
245,Index_245_Parallel.png,Index_245_Back.png,Index_245_Front.png,Index_245_Top.png,40,33,0.93,2.4,4.5,0.6,0.4,3.0,10,0.8,3.4,2.0,2.3,0.5,0,-80,1.8,0.8,5,0.2,0.4,0.0,0.0,80.933,74.6914,95.679,77.972747,30.121408
251,Index_251_Parallel.png,Index_251_Back.png,Index_251_Front.png,Index_251_Top.png,70,45,1.63,2.5,7.6,0.5,0.2,0.1,35,1.6,5.9,0.8,0.1,0.2,0,-80,1.5,0.2,4,0.9,0.6,0.05,0.75,84.088,100.0,79.0123,61.481204,33.49491
266,Index_266_Parallel.png,Index_266_Back.png,Index_266_Front.png,Index_266_Top.png,60,32,1.02,2.1,7.7,0.8,0.2,0.0,15,1.2,3.4,0.9,2.5,0.3,0,-50,1.1,0.0,5,0.9,0.9,0.05,0.05,80.624,94.7531,96.6049,78.803981,25.009299
301,Index_301_Parallel.png,Index_301_Back.png,Index_301_Front.png,Index_301_Top.png,30,30,1.11,1.2,6.8,0.8,0.4,0.7,35,1.6,5.9,0.9,0.0,0.3,0,-80,1.7,0.7,7,0.02,0.3,0.0,0.0,82.888,100.0,83.3333,70.171358,29.861102
306,Index_306_Parallel.png,Index_306_Back.png,Index_306_Front.png,Index_306_Top.png,45,32,1.65,2.6,4.7,0.4,1.3,1.9,10,0.6,4.5,2.0,0.6,1.1,0,-80,1.5,0.6,3,0.7,0.2,0.3,0.2,82.03,91.9753,94.7531,77.715093,39.51349
307,Index_307_Parallel.png,Index_307_Back.png,Index_307_Front.png,Index_307_Top.png,40,31,1.6,2.6,4.2,0.4,1.0,2.7,10,0.6,4.5,2.0,1.0,0.7,0,-80,1.5,0.3,3,0.5,0.3,0.0,0.4,82.03,87.34570000000001,95.0617,77.827685,37.255297
308,Index_308_Parallel.png,Index_308_Back.png,Index_308_Front.png,Index_308_Top.png,70,69,0.89,2.6,7.3,0.4,0.0,0.6,40,1.8,6.0,0.8,0.0,0.2,0,-80,2.0,0.1,9,0.02,0.1,0.0,0.0,83.711,100.0,65.1235,40.304012,38.279233
309,Index_309_Parallel.png,Index_309_Back.png,Index_309_Front.png,Index_309_Top.png,40,33,0.85,2.6,4.2,0.4,2.4,1.3,15,1.2,3.4,0.8,0.0,2.8,0,-20,1.5,0.1,5,0.2,0.1,0.1,0.1,81.619,96.6049,91.358,75.345185,37.0989
313,Index_313_Parallel.png,Index_313_Back.png,Index_313_Front.png,Index_313_Top.png,60,49,1.93,2.3,7.0,0.7,0.0,0.9,25,1.1,6.1,1.0,0.1,0.0,0,-60,1.6,0.1,4,0.4,0.9,0.15,0.05,83.265,100.0,84.25930000000001,68.447253,30.919141
321,Index_321_Parallel.png,Index_321_Back.png,Index_321_Front.png,Index_321_Top.png,55,54,1.1,2.2,6.7,0.8,0.3,0.9,10,0.8,3.4,2.0,2.5,0.3,0,-60,1.1,0.0,7,0.02,1.0,0.0,0.0,81.824,96.9136,93.2099,77.220062,21.813765
323,Index_323_Parallel.png,Index_323_Back.png,Index_323_Front.png,Index_323_Top.png,70,59,6.4,2.5,7.6,0.5,0.3,0.0,25,1.1,6.1,0.8,0.0,0.1,0,-50,1.3,0.0,2,1.2,0.7,0.95,0.05,84.294,100.0,73.7654,56.276667,39.534702
351,Index_351_Parallel.png,Index_351_Back.png,Index_351_Front.png,Index_351_Top.png,45,31,1.65,2.5,4.9,0.5,1.6,1.4,10,0.8,3.4,2.0,1.2,1.6,0,-80,1.7,0.4,3,0.8,0.1,0.15,0.4,82.236,88.27159999999999,94.4444,77.652469,40.259398
352,Index_352_Parallel.png,Index_352_Back.png,Index_352_Front.png,Index_352_Top.png,60,37,1.9,2.6,6.2,0.4,1.2,0.5,10,0.6,4.5,2.0,0.6,1.1,0,-80,2.0,0.3,3,1.2,0.1,0.3,0.0,82.75,96.9136,93.5185,77.046605,40.959352
364,Index_364_Parallel.png,Index_364_Back.png,Index_364_Front.png,Index_364_Top.png,35,32,6.6,1.3,7.3,0.8,0.6,0.0,10,0.6,4.5,2.0,1.2,0.5,0,-80,1.7,0.0,2,0.7,0.1,0.0,0.45,82.51,90.1235,91.6667,75.29142,40.165005
366,Index_366_Parallel.png,Index_366_Back.png,Index_366_Front.png,Index_366_Top.png,40,33,0.97,2.3,4.7,0.7,1.5,1.7,10,0.6,4.5,2.0,0.7,1.0,0,-80,1.5,0.5,5,0.2,0.1,0.05,0.0,81.481,94.1358,94.1358,76.888981,39.861565
367,Index_367_Parallel.png,Index_367_Back.png,Index_367_Front.png,Index_367_Top.png,40,31,1.6,2.6,4.2,0.4,1.0,2.7,10,0.6,4.5,2.0,0.2,1.5,0,-80,1.6,0.3,3,0.5,0.1,0.0,0.05,82.167,89.19749999999999,95.0617,77.687963,39.801521
372,Index_372_Parallel.png,Index_372_Back.png,Index_372_Front.png,Index_372_Top.png,40,33,0.85,2.6,4.2,0.4,1.4,2.3,10,0.8,3.4,2.0,2.4,0.4,0,-30,1.2,0.0,5,0.2,0.4,0.1,0.1,81.139,83.3333,97.5309,78.319444,31.575161
381,Index_381_Parallel.png,Index_381_Back.png,Index_381_Front.png,Index_381_Top.png,50,36,0.82,2.4,5.6,0.6,1.8,0.5,20,1.5,3.6,1.0,0.6,2.0,0,-80,1.2,0.2,6,0.3,0.7,0.15,0.15,82.373,97.8395,95.3704,76.858364,27.447905
382,Index_382_Parallel.png,Index_382_Back.png,Index_382_Front.png,Index_382_Top.png,70,37,1.33,2.5,7.6,0.5,0.3,0.0,10,0.8,3.4,2.0,0.4,2.4,0,-80,1.5,0.0,4,1.2,1.0,1.05,0.15,82.373,91.0494,96.2963,78.585216,32.341076
385,Index_385_Parallel.png,Index_385_Back.png,Index_385_Front.png,Index_385_Top.png,45,32,1.2,2.4,5.1,0.6,0.5,2.3,25,1.7,4.0,1.0,1.1,1.1,0,-40,1.2,0.1,4,0.5,1.0,0.3,0.0,81.996,99.3827,96.6049,77.479012,23.662552
393,Index_393_Parallel.png,Index_393_Back.png,Index_393_Front.png,Index_393_Top.png,30,29,0.98,2.0,4.0,0.8,0.2,3.7,10,0.8,3.4,2.0,1.9,0.9,0,-70,1.8,0.0,5,0.02,1.0,0.0,0.0,80.727,45.0617,99.0741,77.224568,19.224811
398,Index_398_Parallel.png,Index_398_Back.png,Index_398_Front.png,Index_398_Top.png,30,30,6.78,1.2,6.8,1.0,0.0,1.1,10,0.6,4.5,2.0,1.2,0.5,0,-80,2.0,0.0,2,0.02,1.0,0.0,0.0,82.133,86.72840000000001,91.9753,77.473858,35.711639
401,Index_401_Parallel.png,Index_401_Back.png,Index_401_Front.png,Index_401_Top.png,65,64,1.07,2.3,7.6,0.7,0.3,0.0,40,1.8,6.0,0.8,0.2,0.0,0,-50,1.7,0.4,8,0.02,0.5,0.0,0.0,83.882,100.0,73.7654,50.951821,27.905819
411,Index_411_Parallel.png,Index_411_Back.png,Index_411_Front.png,Index_411_Top.png,30,30,6.78,1.2,6.8,1.0,0.0,1.1,10,0.6,4.5,2.0,1.2,0.5,0,-80,2.0,0.0,2,0.02,0.8,0.0,0.0,82.236,87.65429999999999,91.9753,77.388117,36.527312
412,Index_412_Parallel.png,Index_412_Back.png,Index_412_Front.png,Index_412_Top.png,30,30,6.78,1.2,6.8,1.0,0.0,1.1,10,0.6,4.5,2.0,1.2,0.5,0,-80,2.0,0.0,2,0.02,1.0,0.0,0.0,82.133,87.96300000000001,92.284,77.507654,35.711639
413,Index_413_Parallel.png,Index_413_Back.png,Index_413_Front.png,Index_413_Top.png,30,30,6.78,1.2,6.8,0.9,0.0,1.1,10,0.6,4.5,2.0,1.2,0.5,0,-80,2.0,0.0,2,0.02,1.0,0.0,0.0,82.099,87.03699999999999,92.284,76.619105,35.12459
419,Index_419_Parallel.png,Index_419_Back.png,Index_419_Front.png,Index_419_Top.png,35,32,0.97,2.2,4.3,0.8,0.6,3.0,25,1.1,6.1,0.8,0.1,0.0,0,-50,1.3,0.0,5,0.1,0.3,0.0,0.1,81.962,100.0,85.18520000000001,71.631327,33.986653
424,Index_424_Parallel.png,Index_424_Back.png,Index_424_Front.png,Index_424_Top.png,30,29,0.98,2.0,4.0,1.0,1.6,2.3,10,0.8,3.4,2.0,1.1,1.7,0,-40,2.0,0.0,5,0.02,0.9,0.0,0.0,80.727,45.679,100.0,78.904167,19.42592
428,Index_428_Parallel.png,Index_428_Back.png,Index_428_Front.png,Index_428_Top.png,70,70,7.58,2.5,7.6,0.5,0.0,0.3,10,0.6,4.5,2.0,1.4,0.3,0,-80,2.0,0.0,2,0.02,1.0,0.0,0.0,84.053,100.0,79.9383,64.99392,39.997262
436,Index_436_Parallel.png,Index_436_Back.png,Index_436_Front.png,Index_436_Top.png,55,54,7.0,2.1,7.1,0.9,0.0,0.8,40,1.8,6.0,0.9,0.1,0.1,0,-60,1.6,0.0,2,0.1,0.9,0.0,0.05,84.465,100.0,69.7531,47.968302,32.758357
438,Index_438_Parallel.png,Index_438_Back.png,Index_438_Front.png,Index_438_Top.png,70,57,0.89,2.5,7.6,0.5,0.0,0.3,10,0.8,3.4,2.0,1.7,1.1,0,-40,1.4,0.1,8,0.2,0.2,0.1,0.1,83.368,100.0,87.65429999999999,71.043765,39.827405
446,Index_446_Parallel.png,Index_446_Back.png,Index_446_Front.png,Index_446_Top.png,65,60,7.1,2.3,7.6,0.7,0.2,0.1,15,1.2,3.4,0.8,0.8,2.0,0,-50,1.3,0.2,2,0.5,0.8,0.4,0.1,83.813,100.0,78.3951,63.153642,40.616255
453,Index_453_Parallel.png,Index_453_Back.png,Index_453_Front.png,Index_453_Top.png,65,64,6.9,2.5,7.0,0.5,0.5,0.4,10,0.8,3.4,2.0,1.9,0.9,0,-70,1.8,0.0,2,0.1,0.1,0.05,0.05,84.122,100.0,81.4815,66.836636,44.429307
456,Index_456_Parallel.png,Index_456_Back.png,Index_456_Front.png,Index_456_Top.png,50,32,0.86,2.0,6.8,1.0,0.0,1.1,10,0.8,3.4,2.0,1.1,1.7,0,-80,1.8,0.3,6,0.5,0.1,0.25,0.25,82.476,93.5185,92.284,78.186296,40.289361
466,Index_466_Parallel.png,Index_466_Back.png,Index_466_Front.png,Index_466_Top.png,30,29,0.98,2.0,4.0,0.9,2.8,1.1,35,1.6,5.9,1.0,0.1,0.2,0,-60,1.4,0.2,5,0.02,0.4,0.0,0.0,82.133,100.0,90.4321,73.238673,26.603952
468,Index_468_Parallel.png,Index_468_Back.png,Index_468_Front.png,Index_468_Top.png,30,29,0.98,2.0,4.0,0.9,0.8,3.1,10,0.6,4.5,2.0,0.0,1.7,0,-80,1.4,0.4,5,0.02,1.0,0.0,0.0,80.693,46.2963,99.0741,78.06929,19.703649
485,Index_485_Parallel.png,Index_485_Back.png,Index_485_Front.png,Index_485_Top.png,60,51,6.5,2.1,7.7,0.8,0.0,0.2,10,0.8,3.4,2.0,1.8,1.0,0,-80,1.5,0.1,2,1.2,0.1,0.9,0.3,83.539,100.0,85.18520000000001,70.70287,43.440246
502,Index_502_Parallel.png,Index_502_Back.png,Index_502_Front.png,Index_502_Top.png,55,34,1.9,2.4,6.2,0.6,0.0,1.7,10,0.8,3.4,2.0,2.1,0.7,0,-80,0.7,0.0,3,1.2,1.0,1.2,0.0,82.133,87.65429999999999,95.679,78.037593,32.699591
506,Index_506_Parallel.png,Index_506_Back.png,Index_506_Front.png,Index_506_Top.png,55,47,2.45,2.6,5.7,0.4,0.0,2.2,15,0.7,5.8,2.0,0.3,0.1,0,-80,1.7,0.2,3,0.4,0.6,0.35,0.05,82.922,100.0,90.4321,74.41142,35.352206
514,Index_514_Parallel.png,Index_514_Back.png,Index_514_Front.png,Index_514_Top.png,30,29,0.98,2.0,4.0,0.8,1.2,2.7,35,1.7,5.6,1.0,0.6,0.0,0,-60,1.8,0.6,5,0.02,0.1,0.0,0.0,82.407,100.0,88.58019999999999,71.469568,30.869384
521,Index_521_Parallel.png,Index_521_Back.png,Index_521_Front.png,Index_521_Top.png,50,49,1.05,1.8,7.5,1.0,0.4,0.0,40,1.9,5.7,1.0,0.0,0.5,0,-50,1.5,0.0,8,0.02,0.4,0.0,0.0,83.402,100.0,83.9506,60.933302,27.304075
522,Index_522_Parallel.png,Index_522_Back.png,Index_522_Front.png,Index_522_Top.png,60,41,2.65,2.1,7.7,0.8,0.1,0.1,30,1.4,5.8,0.8,0.0,0.4,0,-70,2.0,0.7,3,1.2,0.9,0.3,0.2,83.436,100.0,83.0247,66.327346,33.159415
535,Index_535_Parallel.png,Index_535_Back.png,Index_535_Front.png,Index_535_Top.png,65,60,1.17,2.3,7.6,0.7,0.3,0.0,20,0.9,6.0,0.9,0.0,0.2,0,-50,1.8,0.3,7,0.1,0.5,0.05,0.05,83.402,100.0,79.321,64.815123,32.822256
540,Index_540_Parallel.png,Index_540_Back.png,Index_540_Front.png,Index_540_Top.png,50,34,1.9,2.4,5.6,0.6,1.9,0.4,35,1.8,5.2,0.8,0.1,0.9,0,-70,2.0,0.1,3,0.9,0.8,0.15,0.2,83.23,100.0,86.72840000000001,69.834691,29.184337
563,Index_563_Parallel.png,Index_563_Back.png,Index_563_Front.png,Index_563_Top.png,70,63,0.85,2.5,7.6,0.5,0.0,0.3,10,0.8,3.4,2.0,0.0,2.8,0,-80,2.0,0.1,9,0.1,1.0,0.0,0.0,80.727,96.6049,95.679,77.926111,18.939609
